phi,num_activities,num_active_users,forks,opened_issues,stars,closed_issues
0.03310426944008198,16.0,1,2.0,11.0,12.0,10.0
0.06620853888016397,19.0,1,1.0,10.0,3.0,10.0
0.09931280832024594,19.0,1,2.0,9.0,11.0,5.0
0.13241707776032793,31.0,1,2.0,22.0,4.0,21.0
0.16552134720040992,16.0,1,3.0,14.0,15.0,14.0
0.19862561664049191,14.0,1,5.0,10.0,19.0,10.0
0.2317298860805739,25.0,1,4.0,30.0,20.0,30.0
0.26483415552065587,28.0,1,2.0,29.0,15.0,25.0
0.29793842496073786,21.0,1,1.0,23.0,20.0,17.0
0.33104269440081985,22.0,1,5.0,35.0,28.0,31.0
0.36414696384090184,37.0,1,6.0,54.0,71.0,46.0
0.39725123328098383,56.0,1,303.0,194.0,4951.0,153.0
0.4303555027210658,34.0,1,91.0,115.0,714.0,93.0
0.4634597721611478,32.0,1,58.0,131.0,304.0,77.0
0.4965640416012298,57.0,1,43.0,164.0,233.0,138.0
0.5296683110413117,31.0,1,47.0,141.0,254.0,107.0
0.5627725804813937,43.0,1,44.0,197.0,256.0,165.0
0.5958768499214756,30.0,1,54.0,152.0,307.0,128.0
0.6289811193615575,47.0,1,72.0,201.0,379.0,172.0
0.6620853888016396,55.0,1,62.0,258.0,273.0,207.0
0.6951896582417216,64.0,1,90.0,262.0,628.0,217.0
0.7282939276818036,55.0,1,159.0,240.0,1743.0,176.0
0.7613981971218855,33.0,1,98.0,121.0,553.0,90.0
0.7945024665619675,51.0,1,118.0,208.0,582.0,161.0
0.8276067360020495,33.0,1,135.0,210.0,1155.0,162.0
0.8607110054421314,46.0,1,123.0,252.0,682.0,185.0
0.8938152748822135,39.0,1,107.0,197.0,564.0,149.0
0.9269195443222955,41.0,1,112.0,166.0,623.0,152.0
0.9600238137623774,38.0,1,112.0,187.0,705.0,121.0
0.9931280832024594,44.0,1,107.0,178.0,549.0,149.0
1.0262323526425414,21.0,1,99.0,158.0,433.0,86.0
1.0593366220826235,47.0,1,108.0,150.0,402.0,164.0
1.0924408915227055,44.0,1,146.0,169.0,607.0,157.0
1.1255451609627876,37.0,1,104.0,154.0,402.0,102.0
1.1586494304028696,53.0,1,96.0,193.0,414.0,155.0
1.1917536998429517,76.0,1,98.0,207.0,412.0,159.0
1.2248579692830337,64.0,1,99.0,209.0,406.0,142.0
1.2579622387231157,36.0,1,86.0,139.0,404.0,100.0
1.2910665081631978,47.0,1,94.0,165.0,411.0,124.0
1.3241707776032798,63.0,1,93.0,203.0,383.0,153.0
1.3572750470433619,64.0,1,98.0,196.0,422.0,140.0
1.390379316483444,66.0,1,97.0,205.0,411.0,157.0
1.4234835859235258,60.0,1,119.0,170.0,377.0,645.0
1.4565878553636078,50.0,1,116.0,188.0,410.0,127.0
1.4896921248036898,65.0,1,109.0,209.0,365.0,150.0
1.5227963942437717,49.0,1,98.0,178.0,372.0,122.0
1.5559006636838535,68.0,1,97.0,225.0,404.0,139.0
1.5890049331239355,85.0,1,115.0,241.0,347.0,175.0
1.6221092025640176,82.0,1,113.0,234.0,408.0,174.0
1.6552134720040994,66.0,1,107.0,215.0,588.0,135.0
1.6883177414441812,89.0,1,131.0,245.0,625.0,200.0
1.7214220108842633,71.0,2,129.0,175.0,500.0,122.0
1.7545262803243453,44.0,1,110.0,113.0,382.0,107.0
1.7876305497644271,55.0,2,116.0,144.0,450.0,159.0
1.7377488254522218,68.0,1,92.0,183.0,379.0,188.0
1.6878671011400164,57.0,1,93.0,170.0,413.0,148.0
1.637985376827811,74.0,1,126.0,246.0,450.0,255.0
1.5881036525156056,63.0,1,118.0,230.0,455.0,979.0
1.5382219282034004,52.0,1,136.0,226.0,435.0,182.0
1.488340203891195,62.0,1,129.0,169.0,427.0,253.0
1.4384584795789896,52.0,1,130.0,161.0,408.0,202.0
1.3885767552667845,52.0,1,119.0,158.0,445.0,177.0
1.3386950309545793,73.0,1,125.0,188.0,505.0,189.0
1.288813306642374,67.0,1,119.0,184.0,485.0,182.0
1.2389315823301685,50.0,1,113.0,166.0,379.0,155.0
1.1890498580179634,63.0,1,132.0,170.0,401.0,184.0
1.1391681337057582,78.0,1,101.0,210.0,334.0,202.0
1.0892864093935528,76.0,1,113.0,240.0,451.0,215.0
1.0394046850813474,36.0,1,84.0,108.0,307.0,121.0
0.9895229607691421,73.0,1,80.0,174.0,259.0,190.0
0.9396412364569369,60.0,1,101.0,148.0,290.0,171.0
0.8897595121447317,85.0,1,100.0,199.0,313.0,174.0
0.8398777878325264,90.0,2,94.0,265.0,377.0,210.0
0.8554648877874426,89.0,1,103.0,253.0,332.0,217.0
0.8710519877423586,88.0,1,103.0,252.0,329.0,209.0
0.8866390876972747,91.0,2,101.0,248.0,331.0,238.0
0.7796829670846928,105.0,1,99.0,273.0,367.0,270.0
0.6727268464721109,103.0,2,94.0,242.0,392.0,286.0
0.6209786275127177,98.0,1,94.0,255.0,386.0,256.0
0.5692304085533245,149.0,2,86.0,386.0,417.0,345.0
0.5174821895939313,148.0,1,77.0,362.0,351.0,366.0
0.4657339706345382,144.0,1,104.0,369.0,785.0,298.0
0.41398575167514506,156.0,2,113.0,384.0,361.0,337.0
0.36223753271575193,158.0,2,99.0,447.0,588.0,368.0
0.3104893137563588,221.0,2,273.0,631.0,3213.0,487.0
0.25874109479696566,166.0,1,196.0,503.0,1143.0,356.0
0.20699287583757253,149.0,2,174.0,467.0,607.0,289.0
0.1552446568781794,161.0,2,181.0,467.0,2088.0,438.0
0.10349643791878627,174.0,1,179.0,454.0,994.0,530.0
0.05174821895939313,145.0,1,169.0,471.0,536.0,365.0
