phi,num_activities,num_active_users,forks,opened_issues,stars,closed_issues
0.046949135772960573,1.0,1,0.0,0.0,0.0,0.0
0.09389827154592115,0.0,0,0.0,0.0,0.0,0.0
0.14084740731888173,0.0,0,0.0,0.0,0.0,0.0
0.1877965430918423,0.0,0,0.0,0.0,0.0,0.0
0.23474567886480288,0.0,0,0.0,0.0,0.0,0.0
0.28169481463776347,0.0,0,0.0,0.0,0.0,0.0
0.32864395041072403,0.0,0,0.0,0.0,0.0,0.0
0.3755930861836846,0.0,0,0.0,0.0,0.0,0.0
0.42254222195664515,0.0,0,0.0,0.0,0.0,0.0
0.4694913577296057,0.0,0,0.0,0.0,0.0,0.0
0.5164404935025663,0.0,0,0.0,0.0,0.0,0.0
0.5633896292755268,0.0,1,0.0,0.0,0.0,0.0
0.6103387650484874,1.0,1,0.0,0.0,0.0,0.0
0.657287900821448,0.0,1,0.0,0.0,0.0,0.0
0.7042370365944085,43.0,1,205.0,154.0,1461.0,62.0
0.7511861723673691,36.0,1,42.0,94.0,211.0,50.0
0.7981353081403296,26.0,1,23.0,87.0,121.0,57.0
0.8450844439132902,24.0,1,41.0,119.0,153.0,72.0
0.8920335796862507,31.0,1,38.0,136.0,140.0,54.0
0.9389827154592113,20.0,1,17.0,93.0,69.0,39.0
0.9859318512321719,28.0,1,20.0,81.0,73.0,53.0
1.0328809870051325,23.0,1,20.0,57.0,65.0,35.0
1.079830122778093,7.0,1,32.0,25.0,99.0,15.0
1.1267792585510537,18.0,1,27.0,67.0,71.0,20.0
1.1737283943240142,23.0,1,30.0,82.0,102.0,197.0
1.2206775300969748,31.0,1,20.0,107.0,71.0,202.0
1.2676266658699353,31.0,1,26.0,101.0,108.0,72.0
1.314575801642896,21.0,1,25.0,71.0,82.0,43.0
1.3615249374158565,30.0,1,55.0,103.0,345.0,123.0
1.408474073188817,43.0,1,90.0,202.0,511.0,112.0
1.4554232089617776,65.0,1,54.0,235.0,278.0,114.0
1.5023723447347381,39.0,1,47.0,117.0,192.0,62.0
1.5493214805076987,51.0,1,40.0,150.0,156.0,58.0
1.5962706162806592,36.0,1,55.0,130.0,145.0,87.0
1.6432197520536198,26.0,1,48.0,162.0,152.0,103.0
1.6901688878265804,55.0,1,24.0,214.0,119.0,161.0
1.737118023599541,54.0,1,32.0,206.0,185.0,94.0
1.7840671593725015,58.0,1,27.0,195.0,122.0,77.0
1.8310162951454623,38.0,1,22.0,170.0,106.0,51.0
1.8779654309184228,37.0,1,20.0,106.0,85.0,19.0
1.9249145666913834,30.0,1,19.0,85.0,97.0,28.0
1.9718637024643442,36.0,2,30.0,107.0,103.0,32.0
1.9230650008456391,52.0,1,28.0,127.0,93.0,48.0
1.874266299226934,52.0,1,21.0,148.0,88.0,162.0
1.825467597608229,71.0,1,26.0,195.0,116.0,519.0
1.776668895989524,102.0,1,26.0,270.0,115.0,422.0
1.727870194370819,85.0,1,29.0,208.0,88.0,269.0
1.679071492752114,114.0,1,33.0,288.0,90.0,373.0
1.630272791133409,116.0,1,40.0,344.0,140.0,283.0
1.581474089514704,113.0,1,44.0,347.0,270.0,186.0
1.5326753878959989,98.0,1,47.0,324.0,240.0,202.0
1.4838766862772939,71.0,1,46.0,254.0,161.0,166.0
1.4350779846585888,117.0,2,36.0,323.0,145.0,228.0
1.3862792830398838,143.0,3,35.0,380.0,138.0,268.0
1.3374805814211788,216.0,3,45.0,550.0,183.0,439.0
1.2886818798024737,183.0,2,24.0,491.0,179.0,559.0
1.2398831781837687,145.0,1,28.0,479.0,139.0,506.0
1.1910844765650637,97.0,1,43.0,391.0,231.0,258.0
1.1422857749463586,90.0,1,44.0,341.0,216.0,173.0
1.0934870733276536,112.0,2,31.0,322.0,160.0,198.0
1.0446883717089486,110.0,1,35.0,313.0,141.0,241.0
0.9958896700902437,103.0,1,35.0,294.0,172.0,219.0
0.9470909684715387,84.0,1,32.0,218.0,164.0,141.0
0.8982922668528338,50.0,1,33.0,180.0,153.0,91.0
0.8494935652341289,70.0,2,34.0,214.0,189.0,168.0
0.8111013709966576,108.0,1,49.0,284.0,224.0,246.0
0.7727091767591863,88.0,2,44.0,247.0,211.0,164.0
0.734316982521715,91.0,2,39.0,240.0,196.0,196.0
0.6959247882842436,96.0,1,35.0,320.0,172.0,236.0
0.6575325940467723,134.0,1,45.0,372.0,255.0,291.0
0.619140399809301,111.0,1,42.0,373.0,224.0,263.0
0.5807482055718296,131.0,2,36.0,398.0,184.0,287.0
0.5423560113343582,169.0,1,39.0,441.0,189.0,420.0
0.5039638170968869,178.0,2,39.0,443.0,208.0,393.0
0.4655716228594155,224.0,1,52.0,632.0,260.0,669.0
0.42717942862194414,255.0,2,86.0,808.0,323.0,905.0
0.38878723438447277,304.0,1,84.0,905.0,345.0,771.0
0.3503950401470014,335.0,6,73.0,834.0,701.0,686.0
0.31200284590953004,332.0,1,120.0,785.0,1181.0,641.0
0.27361065167205867,306.0,6,94.0,833.0,508.0,823.0
0.2352184574345873,342.0,5,101.0,1015.0,487.0,866.0
