num_nans,num_valids,vnr,avg_phi
1200.0,70.0,0.058333333333333334,0.9890054846651808
607.0,28.0,0.04612850082372323,0.8690992842312225
401.0,22.0,0.05486284289276808,0.8848415981594538
305.0,12.0,0.03934426229508197,1.0781014588992412
245.0,9.0,0.036734693877551024,0.8910495559494025
201.0,10.0,0.04975124378109453,0.8034735750968579
176.0,5.0,0.028409090909090908,1.3095205072123934
153.0,5.0,0.032679738562091505,0.6004823475487726
137.0,4.0,0.029197080291970802,0.5928878112725584
124.0,3.0,0.024193548387096774,0.8600422909484808
112.0,3.0,0.026785714285714284,0.7841067666439446
103.0,2.0,0.019417475728155338,0.0661332810839039
95.0,2.0,0.021052631578947368,0.5457709952195151
87.0,3.0,0.034482758620689655,0.7813168025815997
84.0,0.0,0.0,
76.0,3.0,0.039473684210526314,0.7195781739120358
72.0,2.0,0.027777777777777776,0.8361749930559739
69.0,1.0,0.014492753623188406,1.6804551510621273
65.0,1.0,0.015384615384615385,1.2316908213302542
63.0,0.0,0.0,
59.0,1.0,0.01694915254237288,1.4282936516174978
56.0,1.0,0.017857142857142856,0.4305551293208396
55.0,0.0,0.0,
52.0,0.0,0.0,
50.0,0.0,0.0,
45.0,3.0,0.06666666666666667,1.1667421743526527
47.0,0.0,0.0,
43.0,2.0,0.046511627906976744,0.4884455196142997
41.0,2.0,0.04878048780487805,1.0777210226563463
41.0,1.0,0.024390243902439025,1.2718316444761195
