hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,1046.0,95.0,0.09082217973231357,0.7184327334913361,0.059816923472109484,0.6662142582917434
2.0,529.0,41.0,0.07750472589792061,0.8052357350076071,0.057920465149669975,0.7525365964714363
3.0,356.0,24.0,0.06741573033707865,0.7532170674309394,0.04757160425879617,0.7109215268003987
4.0,259.0,26.0,0.10038610038610038,0.644257728752203,0.058774389289674656,0.6563939577987504
5.0,218.0,10.0,0.045871559633027525,0.9111547449492019,0.039962927410052716,0.8635183969726701
6.0,179.0,11.0,0.061452513966480445,0.5295001106615769,0.030655269564617612,0.3682879370855298
7.0,155.0,8.0,0.05161290322580645,0.7864230166762807,0.038597448671228496,0.8794605513084903
8.0,133.0,9.0,0.06766917293233082,0.5167184186019558,0.03274975892547606,0.4391308622279858
9.0,120.0,6.0,0.05,0.7082988672048179,0.033728517485943715,0.27242329526873965
10.0,111.0,3.0,0.02702702702702703,0.2639059020757004,0.006944892159886852,0.19306961913473017
11.0,96.0,7.0,0.07291666666666667,0.48458546128514685,0.03293299251452454,0.28800751378147615
12.0,93.0,2.0,0.021505376344086023,0.9205457222359011,0.019379909941808444,0.7756778815843502
13.0,80.0,7.0,0.0875,0.5130586445369796,0.041280580594929395,0.5695215717327813
14.0,77.0,4.0,0.05194805194805195,0.843702744286775,0.041664333051198765,0.561849077835484
15.0,73.0,3.0,0.0410958904109589,0.8376171296594096,0.033063834065503006,0.6176536515264344
16.0,64.0,7.0,0.109375,0.8886669893329268,0.0876150552863449,0.7132986416811001
17.0,65.0,2.0,0.03076923076923077,1.3858275770193225,0.04136798737371112,0.9610242698866314
18.0,58.0,5.0,0.08620689655172414,0.6973936045154037,0.05534869877106378,0.4242841592164218
19.0,56.0,4.0,0.07142857142857142,0.41381286800081785,0.027587524533387857,0.05815789215157153
20.0,57.0,0.0,0.0,,0.0,0.0
21.0,50.0,4.0,0.08,0.915951766367231,0.06784827899016525,0.7732610944918527
22.0,47.0,4.0,0.0851063829787234,0.8054165595548293,0.06316992623959446,0.5868809872638258
23.0,48.0,1.0,0.020833333333333332,1.0000000000000233,0.0204081632653066,0.5102040816326651
24.0,46.0,1.0,0.021739130434782608,1.1864469864057834,0.02524355290225071,0.6058452696540171
25.0,43.0,2.0,0.046511627906976744,0.7478883607073072,0.03323948269810254,0.3729096680897491
26.0,41.0,2.0,0.04878048780487805,0.7577697195820142,0.035245103236372755,0.6091694522712996
27.0,41.0,1.0,0.024390243902439025,0.20996792496613073,0.004999236308717399,0.10748358063742407
28.0,39.0,1.0,0.02564102564102564,0.010249666862351785,0.0002562416715587946,0.00525295426695529
29.0,37.0,2.0,0.05405405405405406,0.8577542969942051,0.04398739984585667,0.5193144793832941
30.0,35.0,3.0,0.08571428571428572,0.38439365647435864,0.030346867616396735,0.29790600850304827
