hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,3212.0,160.0,0.049813200498132,0.7091716330269104,0.03364989955050583,0.5091690279260603
2.0,1609.0,77.0,0.04785581106277191,0.6820009769363304,0.031147138329832413,0.535585172562701
3.0,1074.0,50.0,0.04655493482309125,0.6590464441434876,0.029317012639834855,0.8895136345160246
4.0,810.0,33.0,0.040740740740740744,0.8142859446144596,0.031875962244694155,0.890292339789245
5.0,644.0,30.0,0.046583850931677016,0.7544474335074797,0.033580746298552504,0.6303297843228369
6.0,539.0,23.0,0.04267161410018553,0.9271023550084093,0.03794191132596692,1.1131712408179912
7.0,459.0,22.0,0.04793028322440087,0.6386675900518753,0.02921140744520012,0.6008258230566549
8.0,404.0,17.0,0.04207920792079208,0.7585770317557411,0.03063137657921045,0.9236534657204721
9.0,357.0,17.0,0.047619047619047616,0.8488499030863155,0.038584086503923434,0.7911130999232747
10.0,322.0,15.0,0.046583850931677016,0.8605156370358901,0.03830188295411973,0.7005315287009226
11.0,297.0,9.0,0.030303030303030304,0.5538400335320508,0.016289412750942672,0.3799335964456914
12.0,275.0,6.0,0.02181818181818182,0.5737703476531549,0.012251324149177687,0.40852739566665885
13.0,249.0,10.0,0.040160642570281124,0.7435079164214213,0.02870686935990044,0.4889202875297266
14.0,226.0,14.0,0.061946902654867256,0.6417209434998028,0.037433721704155154,0.5708823835828841
15.0,214.0,10.0,0.04672897196261682,0.7168530476931754,0.03200236820058819,0.5521111539677219
16.0,200.0,10.0,0.05,0.7735476817379076,0.036835603892281306,0.642163012817181
17.0,190.0,8.0,0.042105263157894736,0.5370492527488793,0.02169895970702542,0.3397524349353659
18.0,178.0,9.0,0.05056179775280899,0.760187860132116,0.036586581503684726,0.5814488285792757
19.0,173.0,4.0,0.023121387283236993,0.8147752221208844,0.01841299936996349,0.6293681511617432
20.0,156.0,12.0,0.07692307692307693,0.6630541203765041,0.04736100859832172,0.6025314495498132
21.0,154.0,6.0,0.03896103896103896,1.0592515006045111,0.03972193127266917,0.817632866408022
22.0,147.0,6.0,0.04081632653061224,0.26775808465384804,0.010500317045248944,0.1982413093341678
23.0,142.0,4.0,0.028169014084507043,0.5979997349313507,0.01638355438168084,0.3457189388264788
24.0,133.0,7.0,0.05263157894736842,0.6237481844306784,0.031187409221533915,0.4961381016509442
25.0,125.0,9.0,0.072,0.6129725918131576,0.04116980094267477,0.3966905647774748
26.0,123.0,6.0,0.04878048780487805,1.3790928226366403,0.06414385221565769,0.928377680750764
27.0,121.0,3.0,0.024793388429752067,1.000544431740468,0.024206720122753256,0.9382188040021942
28.0,113.0,7.0,0.061946902654867256,0.7847118421957539,0.045774857461418975,0.7110891468101194
29.0,113.0,3.0,0.02654867256637168,0.5723626360165467,0.014802481965945174,0.4324031401605825
30.0,104.0,8.0,0.07692307692307693,1.1462285554947265,0.08187346824962331,0.6966962149637622
