hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,1798.0,195.0,0.10845383759733036,0.8037773504961515,0.07864354407764652,0.7573172374769964
2.0,915.0,81.0,0.08852459016393442,0.8320551969111484,0.06766713950783436,0.8644445943186115
3.0,615.0,49.0,0.07967479674796749,0.8519389501071685,0.062868988788029,0.7826392796290467
4.0,464.0,34.0,0.07327586206896551,0.8661047774536755,0.0591316514727409,0.7526252241338255
5.0,376.0,22.0,0.05851063829787234,0.8039594012533343,0.04443996690345063,0.5988230513455142
6.0,319.0,13.0,0.04075235109717868,0.7415417760251047,0.029036274362428796,0.49866225319108315
7.0,271.0,13.0,0.04797047970479705,0.7093772329786933,0.03247149305888384,0.4868847997190885
8.0,236.0,13.0,0.05508474576271186,0.9568514983229311,0.04995610232208074,0.9465132360400753
9.0,210.0,11.0,0.05238095238095238,0.6794534673429772,0.03381895086322512,0.5673306417402961
10.0,194.0,5.0,0.02577319587628866,0.44057676535329565,0.011069767973700895,0.3170151219790782
11.0,176.0,5.0,0.028409090909090908,0.209510589762739,0.005787585352561851,0.21030765664417675
12.0,162.0,4.0,0.024691358024691357,0.6325854846695304,0.015243023726976635,0.4419686593862037
13.0,151.0,2.0,0.013245033112582781,0.1926450779424012,0.002518236312972565,0.09884077528417089
14.0,139.0,3.0,0.02158273381294964,0.7484495431566062,0.015812314292040976,0.6232810318114429
15.0,132.0,0.0,0.0,,0.0,0.0
16.0,121.0,3.0,0.024793388429752067,0.44292797178299875,0.010715999317330615,0.554387732058882
17.0,117.0,0.0,0.0,,0.0,0.0
18.0,109.0,1.0,0.009174311926605505,0.4233642969795651,0.0038487663361778646,0.21360653165787163
19.0,103.0,1.0,0.009708737864077669,0.6619942149204683,0.006365328989619888,0.3341797719550438
20.0,98.0,1.0,0.01020408163265306,1.1926450779424143,0.012046919979216305,0.6023459989608153
21.0,92.0,2.0,0.021739130434782608,1.2607542011147554,0.02682455747052671,0.38609733006770197
22.0,88.0,2.0,0.022727272727272728,0.14078572315137064,0.003128571625586014,0.11452158302770628
23.0,85.0,1.0,0.011764705882352941,0.19264507794241145,0.002240059045841994,0.09744256849412672
24.0,82.0,1.0,0.012195121951219513,0.19264507794239094,0.0023210250354504932,0.09748305148892074
25.0,78.0,1.0,0.01282051282051282,0.01916257573110773,0.00024256424976085736,0.009702569990434295
26.0,75.0,1.0,0.013333333333333334,0.19264507794241145,0.002534803657136993,0.09758994079977422
27.0,69.0,4.0,0.057971014492753624,0.460444510316404,0.025229836181720765,0.32521299202957976
28.0,69.0,2.0,0.028985507246376812,0.11098587338111533,0.003126362630453953,0.07998396058320367
29.0,67.0,1.0,0.014925373134328358,0.10647090295087842,0.0015657485728070356,0.05401832576184273
30.0,65.0,1.0,0.015384615384615385,0.19264507794239094,0.0029188648173089538,0.09778197137984994
