hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,3629.0,185.0,0.050978230917608156,0.714722752167345,0.03466798876532742,0.6781705691489223
2.0,1824.0,83.0,0.04550438596491228,0.6922600872166114,0.030129830749333376,0.7132819421201086
3.0,1214.0,57.0,0.04695222405271829,0.6952199401414785,0.031178234923732714,0.7475337314373548
4.0,909.0,44.0,0.0484048404840484,0.7216487969579427,0.03331851738315789,0.7597263709584703
5.0,729.0,33.0,0.04526748971193416,0.6146456905240265,0.026618514156552323,0.6558683393856047
6.0,602.0,33.0,0.054817275747508304,0.6636638047176708,0.034489615048319905,0.6283862238129723
7.0,521.0,23.0,0.044145873320537425,0.474415418869771,0.02005800484192047,0.43660082798279065
8.0,453.0,23.0,0.05077262693156733,0.5817813740785855,0.028111284881948462,0.43389238394816254
9.0,405.0,18.0,0.044444444444444446,0.7764219925499222,0.0330392337255286,0.482570951561376
10.0,365.0,16.0,0.043835616438356165,0.6153586092638597,0.025841831360162087,0.5004511284036098
11.0,334.0,12.0,0.03592814371257485,0.7364334584229192,0.02554104480079488,0.6154728253818113
12.0,305.0,12.0,0.03934426229508197,0.8551616896861963,0.03237205134458787,0.8440076757132599
13.0,282.0,11.0,0.03900709219858156,0.8075661819031709,0.030318184303532007,0.8674104608270035
14.0,263.0,9.0,0.034220532319391636,0.6760900201627593,0.022370625667150125,0.5335585778424038
15.0,246.0,8.0,0.032520325203252036,0.6185428855601622,0.01948166568693424,0.5048946674919468
16.0,230.0,8.0,0.034782608695652174,1.123230254034747,0.03775563879108393,0.9514574090523051
17.0,217.0,7.0,0.03225806451612903,0.5640321930009989,0.017626006031281217,0.4978686548408681
18.0,203.0,8.0,0.03940886699507389,0.5105121162000215,0.01935590961895816,0.4051965457797728
19.0,194.0,6.0,0.030927835051546393,0.9055286264580759,0.02716585879374227,0.8092837589485902
20.0,184.0,6.0,0.03260869565217391,0.39981058986238577,0.012625597574601655,0.4319077721281755
21.0,177.0,4.0,0.022598870056497175,0.734745583135322,0.016237471450504352,0.6846223000932852
22.0,168.0,5.0,0.02976190476190476,0.7081345590911766,0.02046631673673921,0.6832545990674408
23.0,155.0,10.0,0.06451612903225806,0.7869552769064458,0.04769425920645127,0.6838331100285892
24.0,152.0,6.0,0.039473684210526314,0.5807287972798343,0.02205299230176586,0.5261444339823025
25.0,145.0,7.0,0.04827586206896552,0.647920149392239,0.02983842793253732,0.6996034040884804
26.0,143.0,3.0,0.02097902097902098,0.811150437541699,0.016667474744007513,0.8748836122342936
27.0,134.0,7.0,0.05223880597014925,1.2279151670627113,0.060960327442829636,0.7130733855232205
28.0,135.0,1.0,0.007407407407407408,0.14304420043639138,0.0010517955914440542,0.07204799801391772
29.0,127.0,4.0,0.031496062992125984,1.1399977299829602,0.034809090991846106,0.8543014412234099
30.0,122.0,5.0,0.040983606557377046,0.821490437483843,0.032342143208025316,0.6030262368670314
