hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,649.0,60.0,0.09244992295839753,0.7286821208537193,0.06166562376759261,0.6689409530886576
2.0,327.0,27.0,0.08256880733944955,0.7486785220952181,0.05710259914285562,0.7580969448496194
3.0,218.0,18.0,0.08256880733944955,0.5983475088582914,0.04563667440444595,0.5259034939379688
4.0,166.0,11.0,0.06626506024096386,1.014329159060538,0.06303740536534418,0.7962503299322465
5.0,128.0,13.0,0.1015625,0.7010627415709002,0.06463699035760072,0.6646597680391733
6.0,109.0,9.0,0.08256880733944955,1.0116656512127156,0.07716093949927492,0.8918426253331249
7.0,95.0,6.0,0.06315789473684211,0.661446406627777,0.03929384593828378,0.6922692556154446
8.0,80.0,8.0,0.1,0.5594765235482302,0.0508615021407482,0.5810753784929973
9.0,76.0,2.0,0.02631578947368421,0.33509212057779586,0.008592105655840919,0.22607365253940656
10.0,67.0,3.0,0.04477611940298507,0.5551057424696025,0.023790246105840112,0.3714977887736005
11.0,63.0,1.0,0.015873015873015872,0.7415314709843951,0.011586429234131173,0.3765589501092632
12.0,54.0,5.0,0.09259259259259259,0.7504407804076104,0.0635966763057297,0.842747103144735
13.0,50.0,4.0,0.08,0.5486981258421286,0.04064430561793545,0.4492018876645809
14.0,47.0,3.0,0.06382978723404255,0.7038743667323141,0.04223246200393884,0.2816493770869102
15.0,44.0,3.0,0.06818181818181818,0.5334498111553309,0.03404998794608494,0.47940420787752225
16.0,40.0,4.0,0.1,0.6249700714169981,0.05681546103790892,0.3633115491476375
17.0,40.0,1.0,0.025,0.920222752486699,0.022444457377724367,0.4713336049322118
18.0,38.0,1.0,0.02631578947368421,0.3436612189102333,0.008811826125903418,0.1762365225180684
19.0,31.0,6.0,0.1935483870967742,0.7195212986297576,0.11667912950752825,0.5945725261854473
20.0,34.0,1.0,0.029411764705882353,0.6505066530645377,0.018585904373272507,0.33454627871890513
21.0,31.0,2.0,0.06451612903225806,0.5023611180314108,0.03044612836554005,0.4428388108652623
22.0,29.0,3.0,0.10344827586206896,0.7349091967495381,0.0688977371952692,0.6242478855735157
23.0,27.0,3.0,0.1111111111111111,0.8322181851406452,0.08322181851406452,0.5224778247930641
24.0,29.0,0.0,0.0,,0.0,0.0
25.0,27.0,1.0,0.037037037037037035,0.16105750595021348,0.0057520537839361955,0.08340477986707484
26.0,25.0,2.0,0.08,0.272596675409631,0.020192346326639334,0.21567535684682357
27.0,26.0,0.0,0.0,,0.0,0.0
28.0,25.0,0.0,0.0,,0.0,0.0
29.0,22.0,2.0,0.09090909090909091,0.8474009970588987,0.07061674975490823,0.4089591819981983
30.0,23.0,0.0,0.0,,0.0,0.0
