hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,2428.0,139.0,0.05724876441515651,0.7612909644059908,0.04122300118910507,0.7822643411573809
2.0,1209.0,74.0,0.06120760959470637,0.7872214948727206,0.045404825113469466,0.7872337546354081
3.0,817.0,38.0,0.046511627906976744,0.7183821117528856,0.031928093855683806,0.7346865852866935
4.0,611.0,30.0,0.049099836333878884,1.0239594519009019,0.04792321927773332,1.0022101641251764
5.0,497.0,16.0,0.03219315895372234,1.0076600348047355,0.03142799328825685,0.9315486598584982
6.0,416.0,11.0,0.026442307692307692,0.4954256522445382,0.012762721720585294,0.49057317155034047
7.0,350.0,16.0,0.045714285714285714,1.0219882488407914,0.04467708191653733,0.7702122440850343
8.0,309.0,11.0,0.03559870550161812,0.8728305542848545,0.03000355030354187,0.9048517447292237
9.0,269.0,16.0,0.05947955390334572,0.629866843006863,0.03536094557231512,0.4532064425990409
10.0,248.0,8.0,0.03225806451612903,1.0037201840041434,0.03136625575012948,0.9579211217180316
11.0,225.0,8.0,0.035555555555555556,0.8933311574483729,0.030672314418828252,0.7186437922166247
12.0,203.0,10.0,0.04926108374384237,0.3863695303474836,0.018139414570304397,0.35344954910003457
13.0,193.0,4.0,0.02072538860103627,1.4693491186750849,0.029834499871575323,1.287843299734309
14.0,181.0,2.0,0.011049723756906077,0.7249012627636042,0.007922418172279828,0.5244504302586608
15.0,166.0,5.0,0.030120481927710843,0.5691309851874273,0.01664125687682536,0.4282098147242753
16.0,155.0,5.0,0.03225806451612903,0.3356297648541322,0.010488430151691631,0.2522352762874761
17.0,146.0,5.0,0.03424657534246575,0.793506950640387,0.02627506459074129,0.435335439157501
18.0,132.0,10.0,0.07575757575757576,0.8947364678344838,0.06300961041087914,0.773211910681988
19.0,133.0,2.0,0.015037593984962405,0.6699648567540709,0.009925405285245496,0.313920388694523
20.0,124.0,4.0,0.03225806451612903,0.6040636614372311,0.01887698941991347,0.3531012865179376
21.0,120.0,2.0,0.016666666666666666,0.015615867790197212,0.0002559978326261838,0.01279989163130919
22.0,114.0,2.0,0.017543859649122806,0.5888848671296925,0.010153187364305042,0.2641521393642628
23.0,108.0,3.0,0.027777777777777776,0.2104473801611254,0.005687767031381768,0.24647905184977226
24.0,102.0,4.0,0.0392156862745098,0.6803408406480235,0.02567323926973673,0.4662954210041024
25.0,101.0,1.0,0.009900990099009901,0.18892419692969478,0.0018521980091146548,0.09538819746940476
26.0,94.0,4.0,0.0425531914893617,0.8872094518148921,0.03621263068632213,0.669029368220791
27.0,91.0,4.0,0.04395604395604396,0.8998285280421545,0.03788751697019598,0.8705086062136257
28.0,90.0,1.0,0.011111111111111112,0.22971185372853703,0.0025243060849289784,0.11611807990673302
29.0,83.0,5.0,0.060240963855421686,0.6784006999337245,0.038545494314416166,0.5177704619044236
30.0,85.0,0.0,0.0,,0.0,0.0
