num_nans,num_valids,vnr,avg_phi
385.0,1.0,0.0025974025974025974,0.6172848725453963
193.0,0.0,0.0,
127.0,1.0,0.007874015748031496,1.6997983542644735
96.0,0.0,0.0,
77.0,0.0,0.0,
64.0,0.0,0.0,
55.0,0.0,0.0,
48.0,0.0,0.0,
42.0,0.0,0.0,
37.0,1.0,0.02702702702702703,1.20578957649979
35.0,0.0,0.0,
32.0,0.0,0.0,
29.0,0.0,0.0,
27.0,0.0,0.0,
24.0,1.0,0.041666666666666664,0.6948845768035187
24.0,0.0,0.0,
22.0,0.0,0.0,
21.0,0.0,0.0,
20.0,0.0,0.0,
19.0,0.0,0.0,
18.0,0.0,0.0,
17.0,0.0,0.0,
16.0,0.0,0.0,
16.0,0.0,0.0,
15.0,0.0,0.0,
14.0,0.0,0.0,
14.0,0.0,0.0,
13.0,0.0,0.0,
13.0,0.0,0.0,
12.0,0.0,0.0,
