hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,385.0,1.0,0.0025974025974025974,0.6172848725453963,0.0015991836076305603,0.3094420280765128
2.0,193.0,0.0,0.0,,0.0,0.0
3.0,127.0,1.0,0.007874015748031496,1.6997983542644735,0.013279674642691199,0.8565390144535829
4.0,96.0,0.0,0.0,,0.0,0.0
5.0,77.0,0.0,0.0,,0.0,0.0
6.0,64.0,0.0,0.0,,0.0,0.0
7.0,55.0,0.0,0.0,,0.0,0.0
8.0,48.0,0.0,0.0,,0.0,0.0
9.0,42.0,0.0,0.0,,0.0,0.0
10.0,37.0,1.0,0.02702702702702703,1.20578957649979,0.03173130464473131,0.6187604405722608
11.0,35.0,0.0,0.0,,0.0,0.0
12.0,32.0,0.0,0.0,,0.0,0.0
13.0,29.0,0.0,0.0,,0.0,0.0
14.0,27.0,0.0,0.0,,0.0,0.0
15.0,24.0,1.0,0.041666666666666664,0.6948845768035187,0.027795383072140748,0.3613399799378297
16.0,24.0,0.0,0.0,,0.0,0.0
17.0,22.0,0.0,0.0,,0.0,0.0
18.0,21.0,0.0,0.0,,0.0,0.0
19.0,20.0,0.0,0.0,,0.0,0.0
20.0,19.0,0.0,0.0,,0.0,0.0
21.0,18.0,0.0,0.0,,0.0,0.0
22.0,17.0,0.0,0.0,,0.0,0.0
23.0,16.0,0.0,0.0,,0.0,0.0
24.0,16.0,0.0,0.0,,0.0,0.0
25.0,15.0,0.0,0.0,,0.0,0.0
26.0,14.0,0.0,0.0,,0.0,0.0
27.0,14.0,0.0,0.0,,0.0,0.0
28.0,13.0,0.0,0.0,,0.0,0.0
29.0,13.0,0.0,0.0,,0.0,0.0
30.0,12.0,0.0,0.0,,0.0,0.0
