hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,2257.0,268.0,0.11874169251218432,0.8673449406497389,0.09205878974024952,0.8811458406796444
2.0,1141.0,121.0,0.10604732690622261,0.9135587269537724,0.08759160535769134,0.9472869741317105
3.0,757.0,84.0,0.11096433289299867,0.9819277135033285,0.09807601419058212,0.9249842059426672
4.0,585.0,46.0,0.07863247863247863,1.1789534707886102,0.08594589485939155,1.0429872861695662
5.0,455.0,50.0,0.10989010989010989,1.0450927058970394,0.10347452533634052,1.0314010511901384
6.0,395.0,25.0,0.06329113924050633,1.1507660933741748,0.06849798174846278,1.045869842745524
7.0,339.0,21.0,0.061946902654867256,1.009400346793951,0.0588816868963138,0.7680211463287433
8.0,292.0,23.0,0.07876712328767123,1.1061155865342003,0.08076399520725908,0.9610046209798712
9.0,264.0,16.0,0.06060606060606061,1.0820057042981985,0.06182889738846849,1.0826691428906718
10.0,229.0,23.0,0.10043668122270742,0.9781434197370169,0.08927499465853725,0.8778849087237346
11.0,216.0,13.0,0.06018518518518518,0.9153804495443368,0.05196482901343397,0.9681226637013782
12.0,203.0,7.0,0.034482758620689655,1.2911812122161235,0.04303937374053745,1.0997527687484454
13.0,185.0,9.0,0.04864864864864865,0.9311220101297205,0.04319638191323446,0.8750808842933894
14.0,174.0,6.0,0.034482758620689655,0.9873504364706106,0.03291168121568703,0.6857973267886697
15.0,157.0,11.0,0.07006369426751592,0.9188475173780752,0.060162635066421576,0.7802732394643884
16.0,151.0,6.0,0.039735099337748346,1.4296757553254693,0.05463729001243832,1.188474596539306
17.0,141.0,7.0,0.04964539007092199,0.9240271026187882,0.043703984583321066,0.945388471662038
18.0,136.0,4.0,0.029411764705882353,1.487387219446532,0.04249677769847234,1.112416210516663
19.0,127.0,5.0,0.03937007874015748,0.5313457395644415,0.02012673255925915,0.5083344511352637
20.0,119.0,7.0,0.058823529411764705,1.0735919716126372,0.05964399842292428,0.7118894236451713
21.0,118.0,2.0,0.01694915254237288,1.1425985318756386,0.019043308864593978,0.4488337997481945
22.0,107.0,7.0,0.06542056074766354,0.6704643631957016,0.0411688644067536,0.5787398309048838
23.0,108.0,1.0,0.009259259259259259,1.195868978816688,0.010971275035015486,0.603420126925852
24.0,103.0,2.0,0.019417475728155338,0.8178840778181267,0.015578744339392889,0.6980356855624662
25.0,97.0,4.0,0.041237113402061855,1.280566158642249,0.0507154914313762,1.1121010972488978
26.0,96.0,1.0,0.010416666666666666,0.8502528804953278,0.008765493613353895,0.429509187054341
27.0,89.0,4.0,0.0449438202247191,0.8507708811646816,0.036592295964072326,0.6335466998353203
28.0,89.0,1.0,0.011235955056179775,1.4765296399273014,0.016405884888081125,0.7464677624076913
29.0,86.0,1.0,0.011627906976744186,1.412272269665971,0.016233014593861738,0.7142526421299162
30.0,83.0,1.0,0.012048192771084338,0.7556344265173581,0.008995647934730453,0.3823150372260438
