hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,4478.0,349.0,0.07793657882983475,0.7346137146604559,0.05311377385881482,0.7330118056144715
2.0,2257.0,156.0,0.06911829862649535,0.7798912283301959,0.05041982246975158,0.7995616324843301
3.0,1500.0,109.0,0.07266666666666667,0.7049719866018255,0.047757580198632056,0.8008260573923905
4.0,1133.0,73.0,0.06443071491615181,0.7672991405983605,0.04644513869293558,0.7809895529095466
5.0,903.0,62.0,0.06866002214839424,0.8091162765751007,0.05198467269187175,0.8315142637113836
6.0,755.0,49.0,0.06490066225165562,0.70817750836984,0.04316007202751513,0.6595605361684829
7.0,651.0,38.0,0.05837173579109063,0.750990823200594,0.04141894235358863,0.7736761353374023
8.0,568.0,35.0,0.061619718309859156,0.7095212564954666,0.0411828258330702,0.6685622239598524
9.0,507.0,29.0,0.05719921104536489,0.5927944958955752,0.032072836531663595,0.6066188613604446
10.0,454.0,28.0,0.06167400881057269,0.8171580355769219,0.047469761402808744,0.8856031262052625
11.0,412.0,26.0,0.06310679611650485,0.6602121234517372,0.03919067399485198,0.5526876977848771
12.0,378.0,24.0,0.06349206349206349,0.5212541200490025,0.0311196489581494,0.5245322057104583
13.0,349.0,22.0,0.06303724928366762,0.7576822269588216,0.04492994337761206,0.7044226433581038
14.0,332.0,12.0,0.03614457831325301,0.8868847480957424,0.030937840049851482,0.6463518545192383
15.0,303.0,18.0,0.0594059405940594,0.7203772585410566,0.040394986460246175,0.47409572962566693
16.0,278.0,23.0,0.08273381294964029,0.5255153517334411,0.04015565810587757,0.4833191194014851
17.0,271.0,12.0,0.04428044280442804,0.9499001948512266,0.040278453491924784,0.8376760436541418
18.0,256.0,12.0,0.046875,0.556596452326437,0.024922229208646434,0.432717061142869
19.0,245.0,9.0,0.036734693877551024,0.996513078024565,0.03530951851268144,0.7462377944983608
20.0,230.0,11.0,0.04782608695652174,0.6774588633356846,0.03092135890743789,0.5724059154886831
21.0,220.0,9.0,0.04090909090909091,0.7694437983902277,0.03024014928171201,0.36808289480800915
22.0,209.0,10.0,0.04784688995215311,0.7597189369499558,0.03469036241780621,0.4395316795199409
23.0,203.0,6.0,0.029556650246305417,1.0048644764294108,0.028847784012327578,0.6961360362749561
24.0,188.0,13.0,0.06914893617021277,0.5991447955604458,0.03875065841933231,0.539165544828129
25.0,183.0,10.0,0.0546448087431694,0.6935162609857544,0.03593348502516861,0.5701969790658664
26.0,175.0,10.0,0.05714285714285714,0.874019045547015,0.047244272732271095,0.5806476309596541
27.0,168.0,10.0,0.05952380952380952,0.49588490483865677,0.027858702519025655,0.4308770234540126
28.0,160.0,12.0,0.075,0.7968569755692313,0.05559467271413243,0.5370202154221139
29.0,153.0,13.0,0.08496732026143791,0.8676333120971049,0.06794718709194195,0.678680891662024
30.0,153.0,7.0,0.0457516339869281,0.608736057147249,0.026632202500192142,0.38989455372267956
