hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,1698.0,169.0,0.09952885747938751,0.7290861615746986,0.06599655131554584,0.7083992901111381
2.0,844.0,89.0,0.10545023696682465,0.8261164608174935,0.07880424974572017,0.7906129485364867
3.0,566.0,56.0,0.0989399293286219,0.7340142710994233,0.06608488614399953,0.6388992314925357
4.0,429.0,37.0,0.08624708624708624,0.8332018203939567,0.06615550934458454,0.8003230526917994
5.0,351.0,22.0,0.06267806267806268,0.8008404563893833,0.04723455774950785,0.730094419911887
6.0,285.0,26.0,0.0912280701754386,0.9178692173281603,0.07673504710782046,0.9440973225676201
7.0,244.0,22.0,0.09016393442622951,0.8352066432163657,0.06907724116827084,0.8297302865030538
8.0,221.0,12.0,0.05429864253393665,0.41877015720807725,0.021567561744622,0.44711047434928614
9.0,190.0,17.0,0.08947368421052632,0.7798369435053474,0.06404457990140534,0.6890007693282053
10.0,172.0,14.0,0.08139534883720931,0.7891604111575763,0.05939917073229069,0.7582889916453077
11.0,155.0,14.0,0.09032258064516129,1.059053568889494,0.08773224831037228,1.0014132877460198
12.0,143.0,12.0,0.08391608391608392,0.6578356543527011,0.05092921194988654,0.684272870140446
13.0,128.0,15.0,0.1171875,0.752193841657927,0.07890145192216018,0.7537044901135664
14.0,122.0,11.0,0.09016393442622951,0.7742407206979423,0.06403494682464184,0.5755110723287437
15.0,118.0,6.0,0.05084745762711865,1.3393602969055494,0.06480775630188144,1.1367675679326297
16.0,108.0,8.0,0.07407407407407407,0.9763166453582539,0.06733218243850027,1.0227037257391505
17.0,99.0,10.0,0.10101010101010101,0.4163330604035401,0.03819569361500368,0.2968246672231498
18.0,96.0,7.0,0.07291666666666667,0.8701671041862442,0.05913757018741467,0.6078709060597343
19.0,90.0,8.0,0.08888888888888889,0.7208116483527801,0.05884176721247185,0.5900064123449184
20.0,86.0,7.0,0.08139534883720931,0.7682939316291459,0.05782857549896797,0.8049754654787635
21.0,82.0,6.0,0.07317073170731707,1.1479204806646794,0.0782673054998645,1.2032924884333398
22.0,78.0,6.0,0.07692307692307693,0.9389353319219417,0.06706680942299584,0.8374133257829401
23.0,75.0,6.0,0.08,0.6238873794579548,0.046213879959848506,0.4072190958684177
24.0,72.0,5.0,0.06944444444444445,0.795482472938334,0.051654706034956754,0.6554326748212183
25.0,72.0,2.0,0.027777777777777776,0.9871729818135702,0.02668035085982622,0.8876634744207342
26.0,66.0,5.0,0.07575757575757576,1.1190026730890834,0.07880300514711855,1.056780249962138
27.0,64.0,5.0,0.078125,1.2944681101148845,0.09380203696484671,1.035120875249144
28.0,61.0,5.0,0.08196721311475409,1.1966834741439805,0.09065783895030155,0.96332610662144
29.0,56.0,8.0,0.14285714285714285,0.8146903259476735,0.10183629074345919,0.8179005082664286
30.0,59.0,3.0,0.05084745762711865,0.7690588629430342,0.03721252562627585,0.7513294721387888
