hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,1430.0,136.0,0.0951048951048951,0.8109698597840084,0.07042905551125488,0.6479242774525491
2.0,711.0,72.0,0.10126582278481013,0.8735237094196299,0.08032401925697748,0.8643208510330398
3.0,466.0,56.0,0.12017167381974249,0.9025205566609683,0.09682212868393532,0.8731445784693719
4.0,361.0,30.0,0.08310249307479224,0.8057593487137782,0.061822967932003425,0.7579355151096793
5.0,284.0,29.0,0.10211267605633803,0.8428524955111977,0.07809176475982343,0.8967533403435377
6.0,236.0,25.0,0.1059322033898305,0.7120872831137258,0.06820759416798139,0.5680582685119674
7.0,208.0,15.0,0.07211538461538461,0.6763937514363673,0.04549733754056281,0.6777108676865083
8.0,177.0,18.0,0.1016949152542373,0.8689669030985621,0.08021232951679035,0.8722189947885617
9.0,158.0,16.0,0.10126582278481013,0.9314102598534726,0.08564692044629633,0.9196477041839263
10.0,142.0,14.0,0.09859154929577464,0.5744037926222075,0.051549058312249395,0.6480218888740691
11.0,130.0,12.0,0.09230769230769231,0.9291169773792727,0.07851692766585402,0.6600449574213763
12.0,117.0,13.0,0.1111111111111111,1.0605546346462105,0.10605546346462107,0.8677375477052606
13.0,107.0,13.0,0.12149532710280374,0.7263931675268982,0.0786925931487473,0.5746641804992207
14.0,104.0,7.0,0.0673076923076923,0.8745984922939968,0.055154859874396195,0.8712223327916476
15.0,93.0,11.0,0.11827956989247312,0.967183390906031,0.1022982432689071,1.102123085252535
16.0,82.0,15.0,0.18292682926829268,0.8482373033549114,0.1311707170136461,0.8405082697267771
17.0,86.0,6.0,0.06976744186046512,1.0316503686322906,0.06728154578036678,0.8567291834430911
18.0,83.0,4.0,0.04819277108433735,0.7947041538206804,0.03653812201474393,0.7528190942760229
19.0,75.0,7.0,0.09333333333333334,0.6187354012337375,0.052818875715075146,0.505453353948552
20.0,69.0,9.0,0.13043478260869565,0.5770017829829064,0.06657712880571996,0.5062013309462617
21.0,70.0,4.0,0.05714285714285714,0.6028144942271318,0.03258456725552064,0.5021897474773261
22.0,62.0,9.0,0.14516129032258066,0.6373582591625684,0.08079189200652276,0.3583299766522713
23.0,60.0,8.0,0.13333333333333333,0.6109706959523002,0.07187890540615298,0.5673375728527273
24.0,57.0,8.0,0.14035087719298245,0.7143310063671291,0.08791766232210818,0.7557315529095167
25.0,57.0,5.0,0.08771929824561403,0.530621308456841,0.04279204100458394,0.5003965674047058
26.0,54.0,6.0,0.1111111111111111,0.920941276268087,0.09209412762680867,0.648023580257735
27.0,53.0,5.0,0.09433962264150944,0.8151349119323985,0.07027025102865506,0.8665967079194059
28.0,50.0,5.0,0.1,0.912431851357075,0.08294835012337046,0.8617256229723846
29.0,50.0,4.0,0.08,0.910828355128845,0.06746876704658111,0.5692438438587453
30.0,46.0,6.0,0.13043478260869565,0.8620949641282983,0.09947249586095747,0.8244413874601476
