hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,1465.0,172.0,0.1174061433447099,0.8539453002425353,0.08972424657404769,0.8417213730151367
2.0,729.0,89.0,0.12208504801097393,0.8427751573692557,0.09169558558174051,0.8060416075335077
3.0,491.0,54.0,0.109979633401222,0.8310611195844442,0.08234367056433023,0.807277173342273
4.0,361.0,48.0,0.1329639889196676,0.7787069193348669,0.09138858711020442,0.8032730748631116
5.0,288.0,39.0,0.13541666666666666,0.8994426402510108,0.10727297544278112,0.877122355375189
6.0,248.0,24.0,0.0967741935483871,0.8041423590372191,0.07095373756210754,0.7362901639924513
7.0,209.0,24.0,0.11483253588516747,0.832355473962379,0.08573618615921501,0.6552132816931135
8.0,181.0,23.0,0.1270718232044199,0.8435508511987689,0.09510622341946902,0.8762795718961528
9.0,159.0,22.0,0.13836477987421383,0.8016313840202623,0.0974358588311921,0.8526673944550275
10.0,147.0,16.0,0.10884353741496598,1.0845493577372711,0.10645883266132723,0.9757414622765308
11.0,133.0,15.0,0.11278195488721804,0.5878861308082698,0.05958305379813545,0.5129462486594107
12.0,120.0,16.0,0.13333333333333333,0.722119870800654,0.084955278917724,0.7053986371939586
13.0,111.0,14.0,0.12612612612612611,0.7732628612456953,0.08660544045951789,0.7174028098009363
14.0,106.0,10.0,0.09433962264150944,0.8281053645805695,0.07138839349832497,0.8696356969683435
15.0,97.0,12.0,0.12371134020618557,0.7671912349975768,0.0844614203667057,0.6649813700765074
16.0,94.0,8.0,0.0851063829787234,0.933592615733805,0.07322295025363176,0.8674868743260613
17.0,84.0,12.0,0.14285714285714285,0.7306899685379243,0.09133624606724054,0.7459805298130165
18.0,78.0,12.0,0.15384615384615385,0.8318808750522907,0.11091745000697208,0.6613502153495424
19.0,72.0,14.0,0.19444444444444445,0.870932679553423,0.14177973853195258,0.6880658579418463
20.0,70.0,11.0,0.15714285714285714,0.8234906233623669,0.11183205996279057,0.661196195637306
21.0,68.0,9.0,0.1323529411764706,0.9181068799186206,0.10731119375672189,0.8164881711890691
22.0,68.0,6.0,0.08823529411764706,0.6988592552179558,0.056664263936591006,0.7068419482291627
23.0,61.0,10.0,0.16393442622950818,0.41777308692669246,0.058841279848829926,0.3898454304761104
24.0,63.0,5.0,0.07936507936507936,0.9469100763608754,0.0696257409088879,0.9182777394697594
25.0,59.0,6.0,0.1016949152542373,0.6071517545088485,0.056044777339278325,0.5116953641449156
26.0,57.0,5.0,0.08771929824561403,0.5569255224533584,0.044913348584948255,0.45294528671451645
27.0,51.0,9.0,0.17647058823529413,0.6744124268812518,0.10116186403218777,0.7844978138967088
28.0,52.0,6.0,0.11538461538461539,0.72395129547406,0.07489151332490276,0.5639870173818949
29.0,51.0,5.0,0.09803921568627451,0.7917168659804951,0.07068900589111562,0.7488462627137525
30.0,48.0,6.0,0.125,0.6487281123943752,0.07208090137715281,0.23930691747585758
