num_nans,num_valids,vnr,avg_phi
1185.0,76.0,0.06413502109704641,0.7144310828304087
588.0,42.0,0.07142857142857142,0.7296080166577927
381.0,39.0,0.10236220472440945,0.8069616528405029
295.0,20.0,0.06779661016949153,0.7188306881549287
234.0,18.0,0.07692307692307693,0.606275684495962
200.0,10.0,0.05,0.8158512524849652
170.0,10.0,0.058823529411764705,0.9920768542671003
150.0,7.0,0.04666666666666667,1.1139240773537227
131.0,9.0,0.06870229007633588,0.4685438791456497
115.0,11.0,0.09565217391304348,0.6369245898179938
110.0,4.0,0.03636363636363636,0.7476415502948102
98.0,7.0,0.07142857142857142,0.3974214461997941
88.0,9.0,0.10227272727272728,0.589647671075771
84.0,6.0,0.07142857142857142,0.8847886319017678
79.0,5.0,0.06329113924050633,0.5514189153269151
75.0,3.0,0.04,0.3220768283106592
69.0,5.0,0.07246376811594203,1.1509172847800164
66.0,4.0,0.06060606060606061,0.8329838945112349
58.0,8.0,0.13793103448275862,0.40440927424587464
58.0,5.0,0.08620689655172414,0.6322700137979963
58.0,2.0,0.034482758620689655,0.9489509786298282
55.0,2.0,0.03636363636363636,1.1620563489592084
48.0,6.0,0.125,0.7410534329106996
48.0,4.0,0.08333333333333333,0.9677958673416336
47.0,3.0,0.06382978723404255,1.2772150478362292
43.0,5.0,0.11627906976744186,0.5652132507911108
42.0,4.0,0.09523809523809523,0.8628741951293917
41.0,4.0,0.0975609756097561,0.811809119000711
40.0,3.0,0.075,0.9081137458251662
40.0,2.0,0.05,0.9405572914214353
