hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,2975.0,134.0,0.045042016806722686,0.9464117485257976,0.040790985623176866,0.701651575581724
2.0,1483.0,71.0,0.04787592717464599,0.7550328218055982,0.03449635157541665,0.592184682222927
3.0,1002.0,34.0,0.033932135728542916,0.9570759295688077,0.031409827804381715,0.7614791948532449
4.0,740.0,37.0,0.05,0.8142185466410724,0.03877231174481296,0.4782631289629887
5.0,601.0,20.0,0.033277870216306155,0.7611167354794842,0.024512616279532502,0.645341136836018
6.0,501.0,17.0,0.033932135728542916,0.9587264921005143,0.03146399684499757,0.7250438669801985
7.0,427.0,17.0,0.03981264637002342,0.7290202476917086,0.027912937411619473,0.6954607172211569
8.0,374.0,14.0,0.0374331550802139,0.7667157201617335,0.027665000212021316,0.6015188165183897
9.0,333.0,12.0,0.036036036036036036,1.267025385152972,0.044070448179233807,1.0100619488231843
10.0,302.0,8.0,0.026490066225165563,0.8779962462138386,0.022657967644228096,0.752176496705572
11.0,268.0,14.0,0.05223880597014925,0.8311809291715686,0.0412643014482339,0.577373993124494
12.0,251.0,8.0,0.03187250996015936,0.6305154664236494,0.019475381202274888,0.28467333627337477
13.0,232.0,7.0,0.03017241379310345,0.548527161085887,0.016065649069461126,0.30279446587606174
14.0,215.0,7.0,0.03255813953488372,0.8907539402260387,0.028086835953073295,0.5496818872030351
15.0,199.0,8.0,0.04020100502512563,0.8600471705424786,0.03323853799197985,0.5673691668159645
16.0,192.0,2.0,0.010416666666666666,0.8554613812999354,0.00881918949793748,0.4801936534443923
17.0,176.0,6.0,0.03409090909090909,0.4770562361910493,0.01572712866563899,0.34288021694140774
18.0,165.0,7.0,0.04242424242424243,0.6719285908311471,0.02734593102219785,0.5887895162261368
19.0,160.0,3.0,0.01875,1.3556091039776021,0.024949860809403722,0.7282985785817778
20.0,147.0,8.0,0.05442176870748299,0.7718489544794529,0.03983736539248789,0.626476146738437
21.0,146.0,2.0,0.0136986301369863,0.15118900561096932,0.002043094670418504,0.12496801886766029
22.0,135.0,6.0,0.044444444444444446,0.8552564394030407,0.036393891038427266,0.7024919019498169
23.0,133.0,2.0,0.015037593984962405,0.9874230703522896,0.01462848993114503,0.6954509082403991
24.0,127.0,2.0,0.015748031496062992,0.9253385242238608,0.014346333708897065,0.6289192658502373
25.0,122.0,2.0,0.01639344262295082,0.3440082325750498,0.005548519880242739,0.23536432632401957
26.0,115.0,4.0,0.034782608695652174,0.4917762268764688,0.016530293340385506,0.3096151955147473
27.0,112.0,3.0,0.026785714285714284,0.9320643682451334,0.024314722649873048,0.5473318762657745
28.0,110.0,1.0,0.00909090909090909,1.3895005431838323,0.012518022911566057,0.7010092830476996
29.0,107.0,0.0,0.0,,0.0,0.0
30.0,101.0,2.0,0.019801980198019802,1.2447522794950967,0.02416994717466207,0.5499087306487134
