hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,3379.0,303.0,0.08967150044391832,0.7581866869996182,0.0623928751115927,0.7200601217643522
2.0,1695.0,146.0,0.08613569321533923,0.8353469635553619,0.06624696180286954,0.8321261875817941
3.0,1132.0,95.0,0.08392226148409894,0.7652423360173635,0.059248591623186235,0.7078172315236292
4.0,851.0,69.0,0.08108108108108109,0.7847689048751533,0.0588576678656365,0.7661311366901827
5.0,675.0,61.0,0.09037037037037036,0.8354517453940397,0.0692426038981473,0.8271973720969636
6.0,567.0,46.0,0.08112874779541446,0.7418401122241439,0.055668262907521415,0.6389000087120227
7.0,487.0,39.0,0.08008213552361396,0.8192874936251038,0.06074565066802101,0.766674012931093
8.0,425.0,35.0,0.08235294117647059,0.8545648143312099,0.06502123587302684,0.7196067594674423
9.0,388.0,21.0,0.05412371134020619,0.859944954153236,0.04415365290273337,0.7646717826182672
10.0,342.0,26.0,0.07602339181286549,0.7183540164402127,0.0507532729006672,0.8434048459967384
11.0,310.0,24.0,0.07741935483870968,0.6738415283852626,0.0484197505426536,0.5919163585166145
12.0,286.0,20.0,0.06993006993006994,0.7968405554239688,0.05208108205385418,0.7415751547189001
13.0,269.0,14.0,0.05204460966542751,0.8912678561253122,0.044090989348955376,0.8786200674128594
14.0,243.0,20.0,0.0823045267489712,0.7431586952270124,0.05651396921878421,0.5661489500823204
15.0,227.0,18.0,0.07929515418502203,0.6518263540110766,0.0478892831518342,0.685890000788615
16.0,214.0,16.0,0.07476635514018691,0.765155849661006,0.05322823301989607,0.8374656037493756
17.0,207.0,9.0,0.043478260869565216,0.4703557168008658,0.019598154866702747,0.366719974949578
18.0,194.0,10.0,0.05154639175257732,0.727863849421827,0.03567960046185426,0.5458297898592044
19.0,181.0,12.0,0.06629834254143646,0.9516203269555744,0.05916810323039842,0.9729531150398002
20.0,168.0,16.0,0.09523809523809523,0.8609991278652407,0.07486948937958617,0.8856480708727361
21.0,165.0,10.0,0.06060606060606061,0.8259003146949213,0.04719430369685264,0.6214149352975642
22.0,150.0,17.0,0.11333333333333333,0.7932568112513415,0.080750693360915,0.7481676169714195
23.0,152.0,8.0,0.05263157894736842,0.6436912201625609,0.03218456100812804,0.4526470584213841
24.0,146.0,7.0,0.04794520547945205,0.9121779105191711,0.041733629893033974,0.8120351398957999
25.0,135.0,12.0,0.08888888888888889,0.6154470853886671,0.05024057839907487,0.5153686761481809
26.0,130.0,11.0,0.08461538461538462,1.1252733335929532,0.0877872813441311,1.1234118880024992
27.0,131.0,5.0,0.03816793893129771,0.5643095510446579,0.020746674670759475,0.43858926367103035
28.0,124.0,7.0,0.056451612903225805,1.1368605939703473,0.060748276013682684,1.1999202688167456
29.0,122.0,4.0,0.03278688524590164,1.1170532734436056,0.035462008680749384,1.0046012315020576
30.0,115.0,7.0,0.06086956521739131,0.843298831250582,0.04838599851437767,1.0480329407752715
