hop,num_nans,num_valids,vnr,raw_avg_phi,zeroed_avg_phi,linear_avg_phi
1.0,1757.0,184.0,0.10472396129766648,0.700981716203179,0.0664506109126146,0.7076986140973378
2.0,885.0,85.0,0.096045197740113,0.7388922936768131,0.0647482937758032,0.7252349663901174
3.0,591.0,56.0,0.09475465313028765,0.6597477707267096,0.057103361917613206,0.6696910017416003
4.0,439.0,46.0,0.10478359908883828,0.7541983249115125,0.07153221225964863,0.6601574235651566
5.0,354.0,34.0,0.096045197740113,0.6714866590452361,0.058841614452417604,0.6654784521131087
6.0,301.0,22.0,0.07308970099667775,0.588745190598972,0.04010029161974421,0.7615834557308546
7.0,256.0,21.0,0.08203125,0.5846167534607716,0.0443211257136325,0.5649386331921087
8.0,226.0,16.0,0.07079646017699115,0.7594637144967129,0.05021247699151821,0.7539970742213196
9.0,205.0,10.0,0.04878048780487805,0.4660887771678697,0.021678547775249756,0.3706250372485906
10.0,178.0,16.0,0.0898876404494382,0.7120612204455052,0.05872669859344373,0.6344949632426178
11.0,170.0,6.0,0.03529411764705882,0.5569750988990243,0.018987787462466738,0.5559719758965485
12.0,153.0,8.0,0.05228758169934641,0.6286149153967431,0.031235523746422016,0.6745328512977113
13.0,141.0,8.0,0.05673758865248227,0.6858479565180233,0.036824051356672396,0.7171267582544402
14.0,128.0,10.0,0.078125,0.8576397506046,0.062147808014826084,0.7302588595024393
15.0,120.0,9.0,0.075,0.7350714178118676,0.051284052405479126,0.8520741754574647
16.0,112.0,9.0,0.08035714285714286,0.5421379050517151,0.04032430698731765,0.6438398642345782
17.0,106.0,8.0,0.07547169811320754,0.4440035483532032,0.031158143744084436,0.34705362454519634
18.0,100.0,7.0,0.07,0.4935959900956873,0.03229132645485805,0.49290108639218244
19.0,94.0,8.0,0.0851063829787234,0.8566311758470027,0.06718675888996098,0.5117032474326325
20.0,91.0,6.0,0.06593406593406594,0.897604243713526,0.05552191198227996,0.575355533924623
21.0,85.0,7.0,0.08235294117647059,0.5811287147127129,0.04421631524988033,0.5137331384648103
22.0,85.0,3.0,0.03529411764705882,0.754205150107185,0.025711539208199487,0.8399713528196464
23.0,77.0,7.0,0.09090909090909091,0.8016123309474067,0.06680102757895054,0.5432296321390463
24.0,73.0,7.0,0.0958904109589041,1.1040212768276574,0.09660186172242002,0.9180567399863511
25.0,74.0,3.0,0.04054054054054054,0.7881805077436327,0.030708331470531144,0.8472057041135528
26.0,70.0,4.0,0.05714285714285714,0.18514965220926496,0.01000808930860892,0.1731753791779848
27.0,69.0,2.0,0.028985507246376812,0.18430189902875838,0.00519160278954249,0.07892944283898594
28.0,65.0,4.0,0.06153846153846154,0.9677396443266778,0.05610084894647408,0.5586098523497475
29.0,62.0,4.0,0.06451612903225806,0.3290847841851716,0.019944532374858884,0.25229994482476514
30.0,58.0,6.0,0.10344827586206896,0.8789020591716987,0.08239706804734676,0.3007720659184925
